Question,Background Type,Detail Type Id,Detail Title,Detail
,,29,,The child’s name says a lot about the parents
,,29,,The Dooming ritual is extremely important
,,29,,Corporal punishment is a valuable instrument
,,29,,Children should learn early on how hard life is
,,30,Family needs character to find,the means to continuously support family
,,30,,[medicine/cure] for parent (or other relative)
,,30,,out what happened to a missing sibling
,,30,,an heirloom stolen [1*10] months ago
,,30,,father before it’s too late
,,30,,a close friend of character’s parents
,,30,,[1*100] gc to pay a debt within [1*10] weeks
,,30,,a way do a favour to a local potentate
,,30,,a deed proving the right to something
,,30,,the means to clear the family name
What is your social class?,Social Status,31,The emperor must restrain the,Grand County of Averland
,,31,,Barony of Hochland
,,31,,Grand Duchy of Middenland
,,31,,Barony of Nordland
,,31,,League of Ostermark
,,31,,Grand Principality of Ostland
,,31,,Grand County of Stirland
,,31,,County of Sylvania
,,31,,Grand Duchy of Talabecland
,,31,,County of Wissenland
,,32,Views on existing class system,Your birth shouldn’t decide your life
,,32,,The nobility exists to help and protect us
,,32,,Your parents moved up in society
,,32,,Your parents lost in wealth and influence
,,32,,The lower classes should keep in their place
,,32,,The peasantry is the backbone of society
,,32,,Burghers are the true rulers in the Empire
,,32,,Guilds and societies need to be checked
,,32,,Religious cults and orders are too influential
,,32,,The Empire needs a revolution!
,,33,The Emperor,has lost too much power to the Electors
,,33,,should look to the needs of the little people
,,33,,is a demi-god who should be worshipped
,,33,,doesn’t care about us normal folks
,,33,,must unite the Empire against external threats
,,33,,should be restrained by the Electors
,,33,,is probably the target of a vast conspiracy
,,33,,should take steps to ensure his successors
,,33,,should be replaced with a theocracy
,,33,,needs to think twice about this griffon thing
,,34,Particularly distrusts,Physicians
,,34,,Merchants
,,34,,Politicians and Agitators
,,34,,Lawyers and Bureaucrats
,,34,,Burghers
,,34,,Beggars and Bone Pickers
,,34,,"Priests of all kinds (Zealots, Friars)"
,,34,,"Scholars, Students and Scribes"
,,34,,Watchmen and Roadwardens
,,34,,Peasants
,,35,Particularly loathes a crime,"Arson, especially in villages and towns"
,,35,,Blackmail and extortion
,,35,,Embezzlement and fraud
,,35,,Murder
,,35,,Rape and other violations of women
,,35,,Misuse of power and political corruption
,,35,,"Thievery, pickpockets, burglary, shoplifting"
,,35,,Treason
,,35,,Uncalled-for beatings and physical abuse
,,35,,Worship of the Ruinous Powers
,,36,Despises the background of,Bourgeois
,,36,,Mercantile
,,36,,Military
,,36,,Rural
,,36,,Urban
,,36,,Wanderer
,,36,,Waterline
,,36,,Wilderness
,,36,,"Rural, Wanderer, and Wilderness"
,,36,,"Bourgeois, Mercantile, and Urban"
,,37,Opinion on wizards and magic,Once had their life saved by a wizard
,,37,,Heretics and Chaos cultist–burn them all!
,,37,,It’s the Hedge magicians one must fear
,,37,,Only Priests should be allowed to use magic
,,37,,Colleges of Magic attract the Chaos hordes
,,37,,They should be sacrificed fighting Chaos
,,37,,Someone close was burned for witchcraft
,,37,,All wizards cause dangerous phenomena
,,37,,You should never look directly at a Wizard
,,37,,All wizards fear garlic and silver
,,38,Power in the empire should,be in the hands of the taxpaying burghers
,,38,,be accorded relative to wealth
,,38,,emanate from the villages and towns
,,38,,be a matter for all citizens
,,38,,lie less in the hands of those with money
,,38,,be withdrawn from the Church of Sigmar
,,38,,be collected in the hand of the Emperor
,,38,,be completely held by the Electors
,,38,,belong to the major cults
,,38,,"belong to landowners, they own the Empire"
,,39,Opinions on marriage,It is the only licit union of man and woman
,,39,,Thinks marriage is a form of slavery–for all
,,39,,Finds monogamy unnatural and unrealistic
,,39,,Hopes to marry well
,,39,,Has a sweetheart he never dared to approach
,,39,,Family tells him to marry someone he loathes
,,39,,Parents worry because he still hasn’t married
,,39,,Children born out of wedlock are aberrations
,,39,,Thinks the dowry is the essence of marriage
,,39,,Loathes this formalization of love
,,40,Habits & quirks,Constantly picks nose
,,40,,Should change clothes a bit more often
,,40,,Worries incessantly about their hair
,,40,,Continuously scratches arse
,,40,,Hypochondriac – always thinks they are ill
,,40,,Has a… peculiar smell
,,40,,Draws attention due to loud voice
,,40,,Can't leave scabs alone
,,40,,Overuses colourful language
,,40,,Borderline compulsive pedantic
What did you do before you became an adventurer?,Personal History,41,Has bad memories of a nearby,coaching Inn
,,41,,Brothel
,,41,,Tradesman
,,41,,Garrison
,,41,,court of law
,,41,,toll gate
,,41,,Temple
,,41,,town Gate
,,41,,Graveyard
,,41,,guild house
,,42,Current physical health,Suffers from haemorrhoids (prefers to stand)
,,42,,"Some sort of skin disease (rash, itch)"
,,42,,Recovering from the Galloping Trots
,,42,,Lice or fleas
,,42,,Fits of violent coughing
,,42,,Venereal disease (darn that brothel!)
,,42,,Almost died of pneumonia [1*10] months ago
,,42,,Limps due to a stupid accident
,,42,,Suffers from the mother of all hangovers
,,42,,Has a wound still needing regular attention
,,43,Touch of disorder,Blasted Brain
,,43,,Beast Within
,,43,,Blasphemous Rage
,,43,,Desperate & Doomed
,,43,,Firebug
,,43,,Heart of Despair
,,43,,Knives of Memory
,,43,,Lost Heart
,,43,,Restless Fingers
,,43,,Venomous Thoughts
,,44,Eagerly longs for,Hexensnacht
,,44,,Year Blessing
,,44,,Start Growth
,,44,,First Day of Summer
,,44,,Sun Still
,,44,,Geheimnistag
,,44,,Less Growth
,,44,,World Still
,,44,,Own Birthday
,,44,,Other special day
,,45,Sleep has recently been,filled with dreams of the end of the world
,,45,,onset by sad dreams from their childhood
,,45,,troubled by a face character can’t place
,,45,,particularly sound and restive
,,45,,in short supply and character is very tired
,,45,,full of horrible nightmares
,,45,,disturbed with visions of their own death
,,45,,bad due to much tossing and turning
,,45,,wakeful and restless
,,45,,haunted by a recurring dream
,,46,Mental health: recently,suffered a major loss and is grieving
,,46,,felt harmonic and spiritually refreshed
,,46,,been moody and disharmonic
,,46,,been reminded of own mortality
,,46,,experienced how cruel the world is
,,46,,felt the attraction of the Ruinous Powers
,,46,,been melancholic without knowing why
,,46,,missed family and home so much it hurt
,,46,,pondered the swift passing of time
,,46,,suffered from Fear and is still a bit shaky
,,47,Swore a few days ago to,never have another drink – ever!
,,47,,stay away from the opposite sex – for now
,,47,,keep mouth shut and eyes open
,,47,,choose friends with more care
,,47,,get even – for the umpteenth time
,,47,,get back in shape – physically and mentally
,,47,,one day have more money than that other guy
,,47,,never again pay in advance – for anything
,,47,,let family know they are doing alright
,,47,,somehow make the best of the situation
,,48,Last employer was a,local noble
,,48,,friend of the family
,,48,,Inn-Keeper
,,48,,Merchant
,,48,,trade guild
,,48,,"military body (mercenary unit, army)"
,,48,,religious order
,,48,,law enforcement agency (Town Watch etc)
,,48,,coaching house (Four Seasons Coaches etc)
,,48,,a criminal: [Smuggler/Outlaw Chief/Racketeer]
,,49,Previously crossed a pc’s path,because they hold a grudge against the family
,,49,,because they once hired one of the PC’s friends
,,49,,as were travel companions [1*10] days ago
,,49,,when injured in an accident caused by the PC
,,49,,in the form of a name in a document
,,49,,during a drinking binge that ended gloriously
,,49,,many years ago in the character’s childhood
,,49,,when the PC did them a small favour
,,49,,although the PC doesn’t remember it at all
,,49,,but went under another name back then
,,50,Manifest trait of his career,Form of dress
,,50,,Some sort of mannerism
,,50,,Very specialised jargon
,,50,,Default choice of employer
,,50,,Outward respect for deity
,,50,,Strict adherence to professional code
,,50,,Views on importance of social class
,,50,,Favoured form of lodging
,,50,,"Choice of weapon, armour and combat style"
,,50,,View on magic and wizards
Why did you become an adventurer?,Personality,51,"Philosophy, morals or attitude",Conceited and judgemental
,,51,,"Conformist and law-abiding, law equals morals"
,,51,,Conservative
,,51,,Liberal and open minded
,,51,,Rebellious
,,51,,Righteous
,,51,,Unorthodox
,,51,,Dignified
,,51,,Charitable and generous
,,51,,"Dreamer, otherwordly"
,,52,Character’s spirit is said to be,manic
,,52,,feisty
,,52,,lively
,,52,,animated
,,52,,enthusiastic
,,52,,forceful
,,52,,pptimistic
,,52,,dwindling
,,52,,pessimistic
,,52,,dull
,,53,Character is socially known as,compromising
,,53,,proud
,,53,,pmpious
,,53,,stubborn
,,53,,inquisitive
,,53,,humble
,,53,,confident
,,53,,irresolute
,,53,,compassionate
,,53,,shrewd
,,54,Eating habits,is a strict vegetarian
,,54,,has particularly disgusting table manners
,,54,,doesn’t like eating in public
,,54,,is very choosy when it comes to drinks
,,54,,will eat anything without complaint
,,54,,doesn’t drink alcohol
,,54,,always complains about his meals
,,54,,Thinks fruits and veggetables are for sissies!
,,54,,doesn’t like foreign food
,,54,,likes his meal hot
,,55,Default modus operandi,"Deceitful, selfish and scheming"
,,55,,Merciful and humble
,,55,,"Honest, trustworthy and upright"
,,55,,"Mentally unstable and violent, likes using force"
,,55,,Merciless and uncaring to the point of sadistic
,,55,,Squeamish - doesn’t like doing the dirty work
,,55,,Righteous – always lets the end justify the means
,,55,,Always does things in big style
,,55,,Puppet master – likes using others like pawns
,,55,,"If you want something done well, do it yourself"
,,56,Primary motivation,is exceedingly greedy
,,56,,is honour bound
,,56,,will protect his bloodline at all costs
,,56,,will satisfy his bloodlust no matter what
,,56,,is driven by ambition to excel in his profession
,,56,,wants to bring anarchy to the world
,,56,,is a gambler in all aspects of life
,,56,,is a stalwart and chauvinistic patriot
,,56,,is a hopeless romantic and dreamer
,,56,,lives to have his revenge
,,57,Character has a soft spot for,furry little animals
,,57,,toddlers and small children
,,57,,the opposite sex
,,57,,artists and musicians
,,57,,the elderly
,,57,,"outcasts, beggars and other unfortunate people"
,,57,,"military veterans, war-wounded amputees"
,,57,,"Dwarves, and everything about this stout race"
,,57,,"Elves, and things associated with this fair people"
,,57,,"Halflings, and things related to this merry race"
,,58,With opposite sex character is,extremely conservative and conventional
,,58,,"gracious, courtly and chivalrous"
,,58,,"flirty, even seductive"
,,58,,"indifferent, considers gender unimportant"
,,58,,"uneasy, innocent and inexperienced"
,,58,,constantly falling in love…
,,58,,promiscuous to the point of compulsive
,,58,,romantic and idealistic
,,58,,"insightful, through seedy books, poems & songs"
,,58,,completely uninterested
,,59,Personality flaws,Spendthrift – has never been good with money
,,59,,Can’t adapt according to social context
,,59,,Compulsively honest – can’t lie
,,59,,Outspoken – can’t hold their mouth
,,59,,"Mysterious and secretive, likes talking in riddles"
,,59,,Loathes [51] people
,,59,,Despises [52] people
,,59,,Detests [53] people
,,59,,Abhors people who [54]
,,59,,Dislikes [55] people
,,60,When drunk gets,emotional and sentimental
,,60,,aggressive and bullying
,,60,,disoriented
,,60,,loud
,,60,,silent and introspective
,,60,,boastful and reckless
,,60,,regretful and brooding
,,60,,frequent blackouts
,,60,,"flirty, even abusive"
,,60,,horrible hangovers next day
How religious are you?,Religiosity,61,Particularly devoted to,Verena
,,61,,Ulric
,,61,,Morr
,,61,,Myrmidia
,,61,,Manaan
,,61,,Sigmar
,,61,,Ranald
,,61,,Shallya
,,61,,Taal
,,61,,Rhya
,,62,Religiousness,Pious – adamantly devoted and righteous
,,62,,Religious – believes in the power of gods
,,62,,Conformist – trusts in creed rather than faith
,,62,,Monotheistic – only worships one deity
,,62,,Worships no deity in particular
,,62,,Unorthodox – worships in a peculiar fashion
,,62,,Hypocritical – shows only outward respect
,,62,,Profane – doesn’t care much for religion
,,62,,Irreverent – impious of all deities
,,62,,Heretical – thinks religion is a thing of evil
,,63,Predominantly prays,before every meal
,,63,,when waking in the morning
,,63,,only when protocol calls for it
,,63,,before going to bed
,,63,,at regular intervals during the day
,,63,,during religious festivals and celebrations
,,63,,when it doesn’t impair his daily life
,,63,,"before, during and after combat"
,,63,,when somebody dies
,,63,,"when alone, thinks religion is a private matter"
,,64,Fate & superstition,Worries constantly about their dooming
,,64,,Thinks star sign is key to peoples’ personalities
,,64,,Has lost their birth coin
,,64,,Don’t like crossing open water
,,64,,Black cats are heralds of doom and defeat
,,64,,Never passes a shrine without an offering
,,64,,Thinks killing someone you know is bad luck
,,64,,Seeing a dead person brings ill fortune
,,64,,A woman brings bad luck during her period
,,64,,Looking a stranger into eyes brings bad luck
,,65,Cultist connections,Knows the care-taker of local shrine
,,65,,Friends with a Priest in nearby temple
,,65,,Has a childhood friend turned crazed Zealot
,,65,,Used to be friends with an Initiate
,,65,,Is quite close with a wandering Friar
,,65,,Close family member is a Priest
,,65,,Character once considered becoming an Initiate
,,65,,Asked an oracle for guidance but got none
,,65,,Frequently visits the tomb of a saint or cleric
,,65,,Listens to an unorthodox Priest
,,66,Recently undertook pilgrimage,to repent for a very real sin
,,66,,as a cover to do something far less pious
,,66,,that ended in personal disaster
,,66,,during which he made a spiritual discovery
,,66,,hoping to get some peace of mind
,,66,,to the cathedral of Sigmar in Altdorf
,,66,,to the temple of Manaan in Marienburg
,,66,,to the temple of Ulric in Middenheim
,,66,,to the temple of Myrmidia in Magritta
,,66,,to the temple of Shallya in Couronne
,,67,Once suffered contrition,Bagging
,,67,,Fine
,,67,,Fast
,,67,,Whipping
,,67,,Leeching
,,67,,Blood Tithe
,,67,,The Anvil
,,67,,Pilgrimage
,,67,,Incarceration
,,67,,Other
,,68,Character dislikes cult of,Verena
,,68,,Ulric
,,68,,Morr
,,68,,Myrmidia
,,68,,Manaan
,,68,,Sigmar
,,68,,Ranald
,,68,,Shallya
,,68,,Taal & Rhya
,,68,,minor local deity or aspect of deity
,,69,Character was once lured by,an aesthetic cult
,,69,,a blood cult
,,69,,a corruption cult
,,69,,a death cult
,,69,,a pleasure cult
,,69,,a political cult
,,69,,a cult of Khorne
,,69,,a cult of Tzeentch
,,69,,a cult of Slaanesh
,,69,,a cult of Nurgle
,,70,Strictly observes a creed,related to eating or drinking
,,70,,dictating the roles of men and women
,,70,,regarding sacrifices and offerings
,,70,,that concerns a religious holiday
,,70,,concerning dress
,,70,,governing the relations with another cult
,,70,,deciding what is Chaotic and evil
,,70,,concerning the role of Priests in the cult
,,70,,stressing the importance of class in worship
,,70,,dictating the use of violence
Who are your best friends and worst enemies?,Friends & Enemies,71,Contact in the trade guild of,Merchants
,,71,,Stevedores
,,71,,Scriveners
,,71,,Carpenter
,,71,,Teamsters
,,71,,Tanner
,,71,,Metalworkers
,,71,,Bookbinders
,,71,,Builders
,,71,,Masons
,,72,Recently befriended a,jittery Messenger from a nearby town
,,72,,fat and messy but capable Barber-Surgeon
,,72,,keen and correct Bodyguard
,,72,,sophisticated but progressive Burgher
,,72,,Widely-travelled but insular Coachman
,,72,,ruthless and yet strangely mild Mercenary
,,72,,Dwarven Miner from the Grey Mountains
,,72,,"silent, mysterious and aged Outrider"
,,72,,young and already rather eccentric Scribe
,,72,,corrupt but benevolent Bailiff
,,73,Had a good friend who is now,"held captive, charged with theft"
,,73,,held in loving memory from childhood days
,,73,,a pile of ashes and charred bones
,,73,,an outlaw against [his/her] will
,,73,,a bit of a boss in the streets of a nearby town
,,73,,the character’s sweetheart
,,73,,someone important in a town not far away
,,73,,incarcerated and treated for insanity
,,73,,training to become an Initiate
,,73,,on a romantic escapade with character’s sister
,,74,Has a place of refuge in a,"coaching inn, friends with the inn-keeper"
,,74,,Temple
,,74,,deserted or condemned house
,,74,,Noble’s household where he knows a cook
,,74,,farmstead owned by a friend of parents
,,74,,woods outside the town
,,74,,cottage or cabin hidden in the hills
,,74,,stable where there is this small crawl space
,,74,,"brothel, run by someone with a good heart"
,,74,,town house that belongs to a relative
,,75,Character’s friendship is,worth little if required to do something
,,75,,strong if he can rely on his friend in turn
,,75,,"fleeting, makes new friends and forgets old"
,,75,,fraught with confusion and preconceptions
,,75,,"absolute, does anything for his friends"
,,75,,"lifelong, never forgets a friend"
,,75,,"unwanted at times, gets overzealous at times"
,,75,,reserved for those who’ve proven themselves
,,75,,"hearty, warm and cheerful"
,,75,,"rather formal, indifferent and dispassionate"
,,76,Racist when it comes to,"Elves, particularly the wood-dwelling kind"
,,76,,"Dwarves, especially from outside the Empire"
,,76,,"Halflings, above all those from the Moot"
,,76,,Humans from Border Princes
,,76,,Humans from Bretonnia
,,76,,Humans from Kislev
,,76,,Humans from Marienburg
,,76,,Humans from Norsca
,,76,,"No one, is racially tolerant"
,,76,,Everyone different from them
,,77,Judgmental of people from,Averland (“Inbred hillbillies”)
,,77,,Sudenland (“No respect for law and order”)
,,77,,Middenland (“They had it coming”)
,,77,,Nordland (“Who?”)
,,77,,Ostermark (“Let the hordes just walk through”)
,,77,,Ostland (“Ignorant country bumpkins”)
,,77,,Reikland (“Arrogant and self-important bullies”)
,,77,,Stirland (“Halfling-loving half-wits”)
,,77,,Talabecland (“Greedy upstarts”)
,,77,,Wissenland (“Nuln’s lapdog”)
,,78,A childhood rival is now,an aging Militiaman
,,78,,(allegedly) a Grave Robber
,,78,,a disillusioned Soldier
,,78,,accused of heinous crimes
,,78,,leading a small revolt or uprising somewhere
,,78,,someone to go to for news and gossip
,,78,,rumoured to be somewhere around here
,,78,,dying from some incurable disease
,,78,,a celebrated [entertainer/author/poet]
,,78,,carefully watched by the authorities
,,79,Recently made an enemy of a,browbeaten Road Warden
,,79,,lenient Tax Collector
,,79,,corrupt Bailiff
,,79,,humane Jailer who got fired for leniency
,,79,,drunken Lawyer that used to be sharp
,,79,,retired Sergeant of the Watch
,,79,,bossy Guildsman in a local chapter
,,79,,broke Tradesman
,,79,,Scribe who works in a public office
,,79,,Noble who could care less about him
,,80,Regarding enemies,contempt is scalding hot and very explicit
,,80,,"hate simmers, but rarely boils"
,,80,,respectful and courteous
,,80,,hate shows in the little things
,,80,,"fearful of his enemies, looking the other way"
,,80,,quite good-natured; suffers fools gladly
,,80,,borderline psychopathic; beware of his rage!
,,80,,compelled to pray to a deity
,,80,,inclined to avoid things he dislikes
,,80,,hatred is reserved for battle
What are your prized possessions?,Peculiar Possessions,81,Foodstuffs,Sack of [2*10] sour apples
,,81,,[1*10] trail rations
,,81,,Two spicy sausages
,,81,,One small keg of rather watery ale
,,81,,Sandwich (ham & mustard) wrapped in cloth
,,81,,Large sack of potatoes
,,81,,Half a bottle of poor quality spirits
,,81,,Two large loafs of rye bread
,,81,,Bottle of decent red wine
,,81,,Large piece of very smelly (but tasty) cheese
,,82,"Coins, cash & currency",[1*10] gc of foreign coinage
,,82,,[1*10] counterfeited silver shillings
,,82,,[1*10] archaic-looking pennies
,,82,,"Someone owes [2*10] gcs, due in [1*10] weeks"
,,82,,"Recently won at cards, has an extra [1*10] gc"
,,82,,Owes a friend or relative [4*10] s
,,82,,Bar or brothel tab ([1*10] s) to settle next day
,,82,,Steady income of [2*10] gc/month
,,82,,"Yesterday, character found [1*10] gc"
,,82,,"Was robbed [1*10] days ago, lost [1*10] s"
,,83,Pet,Small but vicious dog
,,83,,Tame bird that can’t fly
,,83,,Proud but quite fat tomcat
,,83,,Impossibly big rat
,,83,,"Almost deaf, smelly and very old mutt"
,,83,,Two small birds and ornate cage
,,83,,Keeps collar or leash as memory of dead dog
,,83,,“Pet” [cow/sheep/pig/rabbit] back home
,,83,,Old and sagging pony or horse (poor quality)
,,83,,"Good saddle, harness and 2 saddlebags"
,,84,"Deeds, books & documents",Letter of recommendation from former boss
,,84,,Permit to carry arms in a town where required
,,84,,Deed of partnership with Tradesman ([1*10] %)
,,84,,Letter of introduction from home town
,,84,,"Written invitation to market, festival or fair"
,,84,,"“Wanted” poster, a few days old"
,,84,,"[1*10] letters from lover, relative or friend"
,,84,,Book of Tillean poetry (poor quality-lousy)
,,84,,Cooking book (“100 Precious Pies”)
,,84,,Book of Averland history
,,85,Weapons & armour,A rusty shortsword
,,85,,Short bow with [1*10] arrows
,,85,,"Ornate, balanced and sharp (good) dagger"
,,85,,Worn leather jerkin
,,85,,Dented pot helmet
,,85,,Nice (but empty) scabbard for longsword
,,85,,Warhammer with the insignia of military unit
,,85,,Old wooden shield with fading coat of arms
,,85,,Rusty and torn mail shirt (poor quality)
,,85,,Pistol balls and powder for [1*10] shots
,,86,Religious symbols and trappings,Religious symbol worth [1*10] s
,,86,,"Religious symbol worth [1*10] s, but not for preferred deity"
,,86,,Medallion portraying local saint or hero
,,86,,Pictogram woven into seem of clothes
,,86,,Symbol of deity of another pantheon
,,86,,Beautiful symbol worth [1*10] gc
,,86,,Treasured religious relic
,,86,,Neatly folded religious robes
,,86,,Book of religious tenets (thin and leafed)
,,86,,Lucky charm
,,87,Clothing (other than worn),Two good quality shirts wrapped in cloth
,,87,,Pair of rather nice leather shoes
,,87,,Nicely clad (considered social status)
,,87,,Set of torn and blood clothes
,,87,,"Attire is wrinkled, worn and dirty"
,,87,,Garments of other career
,,87,,Old uniform that doesn’t fit character
,,87,,Warm and sturdy but worn overcoat
,,87,,Richly embroidered traveller’s mantle
,,87,,A pair of very smelly but sturdy boots
,,88,Travel & services,Paid for passage on coach or boat
,,88,,Has paid for a bath he never had time to take
,,88,,An artisan is repairing one of his trappings
,,88,,Some labourers owe him a favour
,,88,,A Barber-Surgeon owes him a treatment
,,88,,Has recently befriended a decent Entertainer
,,88,,Has the trust of a local Merchant’s Servant
,,88,,[1*10x5]% discount at one skilled Artisan
,,88,,Knows a cheap dealer in various items
,,88,,Knows of a Tradesman who is also a Fence
,,89,Lodgings,has paid for three days in a private room
,,89,,has paid for [1*10] days in a common room
